[876] NNDSS - TABLE 1U. Legionellosis to Listeriosis | pub=CDC | desc: NNDSS - TABLE 1U. Legionellosis to Listeriosis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note: This ta | cols: Leptospirosis, Cum 2019†, flag, Listeriosis, Cum 2019†, Listeriosis, Cum 2018†, Location 1 (city), Location 1 (state), Legionellosis, Cum 2018†, Legionellosis, Cum 2019†, Location 2 (zip), Location 2 (state), MMWR Year | tags: nedss, nndss, netss, wonder, legionellosis, leptospirosis
[919] NNDSS - TABLE 1W. Meningococcal disease, All serogroups to Meningococcal disease, Serogroup B | pub=CDC | desc: NNDSS - TABLE 1W. Meningococcal disease, All serogroups to Meningococcal disease, Serogroup B - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. ter | cols: Meningococcal disease, Serogroup B, Cum 2019†, flag, Meningococcal disease, Serogroup B, Cum 2018†, Meningococcal disease, Serogroup B, Cum 2019†, Meningococcal disease, Serogroups ACWY, Cum 2018†, Meningococcal disease, Serogroups ACWY, Cum 2019†, Meningococcal disease, All serogroups, Cum 2018†, Meningococcal disease, All serogroups, Previous 52 weeks Max†, flag, Meningococcal disease, All serogroups, Previous 52 weeks Max†, Reporting Area, Meningococcal disease, All serogroups, Current week, flag | tags: nndss, nedss, wonder, 2019, all serogroups, meningococcal disease
[920] NNDSS - TABLE 1OO. Viral hemorrhagic fevers, Machupo virus to Viral hemorrhagic fevers, Sabia virus | pub=CDC | desc: NNDSS - TABLE 1OO. Viral hemorrhagic fevers, Machupo virus to Viral hemorrhagic fevers, Sabia virus - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U. | cols: Viral hemorrhagic fevers§, Machupo virus, Previous 52 weeks Max†, Viral hemorrhagic fevers§, Machupo virus, Current week, Location 2 (address), Location 2 (zip), Location 1 (city), Viral hemorrhagic fevers§, Marburg virus, Cum 2018†, Viral hemorrhagic fevers§, Sabia virus, Current week, Viral hemorrhagic fevers§, Machupo virus, Previous 52 weeks Max†, flag, Viral hemorrhagic fevers§ ,Sabia virus, Current week, flag, Viral hemorrhagic fevers§, Sabia virus, Cum 2019† | tags: machupo virus, viral hemorrhagic fevers, 2019, wonder, sabia virus, nndss
[921] NNDSS - TABLE 1HH. Streptococcal toxic shock syndrome to Syphilis, Primary and Secondary | pub=CDC | desc: NNDSS - TABLE 1HH. Streptococcal toxic shock syndrome to Syphilis, Primary and Secondary - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territor | cols: Location 2 (address), Location 2 (zip), Syphilis, Congenital, Current week, Location 2, MMWR Year, Streptococcal toxic shock syndrome, Previous 52 weeks Max†, flag, Syphilis, Congenital, Current week, flag, Syphilis, Primary and Secondary, Cum 2019†, flag, Syphilis, Primary and Secondary, Cum 2018†, flag, Location 1 (address) | tags: syphilis, congenital, 2019, wonder, nedss, netss
[923] NNDSS - TABLE 1LL. Vibriosis, Confirmed to Vibriosis, Probable | pub=CDC | desc: NNDSS - TABLE 1LL. Vibriosis, Confirmed to Vibriosis, Probable - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. resident | cols: Location 2 (city), Location 2 (address), Location 1 (zip), MMWR Year, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Current week, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Confirmed, Cum 2018†, flag, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Previous 52 weeks Max†, flag, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2019†, flag, Vibriosis (any species of the family Vibrionaceae, other than toxigenic Vibrio cholerae O1 or O139), Probable, Cum 2018†, flag, Location 1 | tags: nndss, vibriosis confirmed, vibriosis probable, wonder, 2019, nedss
[924] NNDSS - TABLE 1Z. Pertussis to Poliomyelitis, paralytic | pub=CDC | desc: NNDSS - TABLE 1Z. Pertussis to Poliomyelitis, paralytic - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note | cols: Plague, Previous 52 weeks Max†, flag, Pertussis, Cum 2018†, Pertussis, Previous 52 weeks Max†, flag, Pertussis, Previous 52 weeks Max†, MMWR Week, MMWR Year, Poliomyelitis, paralytic, Previous 52 weeks Max†, flag, Location 1 (address), Location 2 (address), Pertussis, Current week | tags: 2019, nedss, poliomyelitis, plague, netss, paralytic
[926] NNDSS - TABLE 1F. Brucellosis to Candida auris, clinical | pub=CDC | desc: NNDSS - Table 1F. Brucellosis to Candida auris, clinical - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Not | cols: Candida auris, clinical§, Cum 2018†, Candida auris, clinical§, Current week, Candida auris, clinical§, Current week, flag, Brucellosis, Cum 2019†, flag, Campylobacteriosis, Cum 2019†, flag, Location 2, Campylobacteriosis, Cum 2018†, flag, Brucellosis, Previous 52 weeks Max†, flag, Candida auris, clinical§, Cum 2018†, flag, Campylobacteriosis, Previous 52 weeks Max†, flag | tags: 2019, nndss, netss, nedss, clinical, candida auris
[927] NNDSS - Table 1B. Arboviral diseases, Jamestown Canyon virus disease to Powassan virus disease | pub=CDC | desc: NNDSS - TABLE 1B. Arboviral diseases, Jamestown Canyon virus disease to Powassan virus disease – 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. te | cols: Arboviral diseases, Jamestown Canyon virus disease, Cum 2019†, flag, Arboviral diseases, Powassan virus disease, Previous 52 weeks Max†, MMWR Week, Arboviral diseases, La Crosse virus disease, Cum 2019†, flag, Arboviral diseases, Powassan virus disease, Cum 2020†, flag, Arboviral diseases, La Crosse virus disease, Current week, flag, MMWR Year, States, Counties, Arboviral diseases, Jamestown Canyon virus disease, Cum 2019† | tags: wonder, powassan virus disease, nndss, arboviral diseases, 2020, netss
[928] NNDSS - TABLE 1R. Hepatitis C, perinatal infection to Influenza-associated pediatric mortality | pub=CDC | desc: NNDSS - TABLE 1R. Hepatitis C, perinatal infection to Influenza-associated pediatric mortality - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. te | cols: Influenza-associated pediatric mortality§, Previous 52 weeks Max†, flag, Influenza-associated pediatric mortality§, Cum 2021†, Influenza-associated pediatric mortality§, Previous 52 weeks Max†, Influenza-associated pediatric mortality§, Current week, Hepatitis C, perinatal infection, Cum 2020†, Influenza-associated pediatric mortality§, Cum 2020†, Hepatitis C, perinatal infection, Cum 2021†, Reporting Area, Influenza-associated pediatric mortality§, Cum 2020†, flag, Location 1 | tags: nndss, perinatal infection, hepatitis c, influenza-associated pediatric mortality, nedss, netss
[931] NNDSS - Table 1I. Cryptosporidiosis to Cyclosporiasis | pub=CDC | desc: NNDSS - Table 1I. Cryptosporidiosis to Cyclosporiasis - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Notice | cols: geocode, Cyclosporiasis, Current week, Cryptosporidiosis, Previous 52 weeks Max†, Cryptosporidiosis, Current week, MMWR Week, Cryptosporidiosis, Cum 2021†, Cryptosporidiosis, Cum 2021†, flag, Cyclosporiasis, Cum 2021†, Location 1, MMWR Year | tags: cryptosporidiosis, nndss, wonder, cyclosporiasis, 2021, nedss
[933] NNDSS - TABLE 1II. Tetanus to Trichinellosis | pub=CDC | desc: NNDSS - TABLE 1II. Tetanus to Trichinellosis – 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note: This tabl | cols: New Georeferenced Column, Trichinellosis, Cum 2020†, flag, Toxic shock snydrome (other than Streptococcal), Cum 2019†, flag, Tetanus, Previous 52 weeks Max†, flag, States, Counties, Toxic shock snydrome (other than Streptococcal), Cum 2019†, Toxic shock snydrome (other than Streptococcal), Cum 2020†, flag, Location 2, Reporting Area Sort | tags: nndss, tetanus, toxic shock syndrome (other than streptococcal), trichinellosis, wonder, nedss
[934] NNDSS - TABLE 1GG. Spotted fever rickettsiosis, Confirmed to Smallpox | pub=CDC | desc: NNDSS - TABLE 1GG. Spotted fever rickettsiosis, Confirmed to Smallpox - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. r | cols: Spotted fever rickettsiosis, Confirmed, Current week, flag , Reporting Area Sort, Location 1 (state), Location 1, Smallpox, Previous 52 weeks Max†, Smallpox, Current week, flag , Spotted fever rickettsiosis, Probable, Cum 2018†, flag, Spotted fever rickettsiosis, Probable, Previous 52 weeks Max†, flag, Spotted fever rickettsiosis, Probable, Previous 52 weeks Max†, Spotted fever rickettsiosis, Probable, Current week, flag | tags: 2019, nedss, netss, nndss, spotted fever rickettsiosis probable, wonder
[935] NNDSS - TABLE 1T. Invasive pneumococcal disease, Age<5 years, Confirmed to Legionellosis | pub=CDC | desc: NNDSS - TABLE 1T. Invasive pneumococcal disease, age<5 years, Confirmed to Legionellosis - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territor | cols: Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2021†, Location 2, Legionellosis, Current week, Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2021†, flag, Invasive pneumococcal disease, age < 5 years§, Probable,  Cum 2021†, Invasive pneumococcal disease, age < 5 years§, Probable, Previous 52 weeks Max†, Invasive pneumococcal disease, age < 5 years§, Confirmed, Cum 2021†, flag, MMWR Week, Reporting Area, Reporting Area Sort | tags: probable, netss, nedss, legionellosis, 2021, age<5 years
[936] NNDSS - TABLE 1NN. Viral hemorrhagic fevers, Junin virus to Viral hemorrhagic fevers, Lujo virus | pub=CDC | desc: NNDSS - TABLE 1NN. Viral hemorrhagic fevers, Junin virus to Viral hemorrhagic fevers, Lujo virus – 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S.  | cols: New Georeferenced Column, Counties, States, Viral hemorrhagic fevers§, Lassa virus, Cum 2019†, Viral hemorrhagic fevers§, Junin virus, Cum 2019†, Viral hemorrhagic fevers§, Junin virus, Cum 2019†, flag, Viral hemorrhagic fevers§, Lujo virus, Cum 2020†, flag, MMWR Year, Viral hemorrhagic fevers§, Lassa virus, Cum 2019†, flag, Viral hemorrhagic fevers§, Lujo virus, Cum 2019† | tags: viral hemorrhagic fevers, wonder, 2020, netss, junin virus, nedss
[937] NNDSS - Table 1C. Arboviral diseases, St. Louis encephalitis virus disease to West Nile virus diseas | pub=CDC | desc: NNDSS - Table 1C. Arboviral diseases, St. Louis encephalitis virus disease to West Nile virus disease - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States,  | cols: Arboviral diseases, West Nile virus disease, Cum 2020†, Arboviral diseases, West Nile virus disease, Cum 2021†, Arboviral diseases, West Nile virus disease, Previous 52 weeks Max†, flag, Location 1, Location 2, Arboviral diseases, St. Louis encephalitis virus disease, Previous 52 weeks Max†, flag, Arboviral diseases, St. Louis encephalitis virus disease, Previous 52 weeks Max†, Arboviral diseases, St. Louis encephalitis virus disease, Cum 2021†, Arboviral diseases, St. Louis encephalitis virus disease, Cum 2020†, flag, Arboviral diseases, St. Louis encephalitis virus disease, Cum 2021†, flag | tags: 2021, arboviral diseases, wonder, nedss, netss, nndss
[938] NNDSS - TABLE 1R. Hepatitis C, perinatal infection to Influenza-associated pediatric mortality | pub=CDC | desc: NNDSS - TABLE 1R. Hepatitis C, perinatal infection to Influenza-associated pediatric mortality - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. te | cols: Influenza-associated pediatric mortality§, Cum 2019†, Influenza-associated pediatric mortality§, Current week, flag, Hepatitis C, perinatal infection, Cum 2019†, flag, Hepatitis C, perinatal infection, Previous 52 weeks Max†, flag, Influenza-associated pediatric mortality§, Previous 52 weeks Max†, Hepatitis C, perinatal infection, Cum 2020†, flag, States, Counties, Hepatitis C, perinatal infection, Current week, Influenza-associated pediatric mortality§, Cum 2020†, flag | tags: nndss, netss, nedss, influenza-associated pediatric mortality, hepatitis c, 2020
[939] NNDSS - Table 1B. Arboviral diseases, Jamestown Canyon virus disease to Powassan virus disease | pub=CDC | desc: NNDSS - TABLE 1B. Arboviral diseases, Jamestown Canyon virus disease to Powassan virus disease – 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. te | cols: Arboviral diseases, Powassan virus disease, Previous 52 weeks Max†, Arboviral diseases, La Crosse virus disease, Cum 2021†, Arboviral diseases, La Crosse virus disease, Previous 52 weeks Max†, Arboviral diseases, Jamestown Canyon virus disease, Cum 2020†, Arboviral diseases, Jamestown Canyon virus disease, Cum 2021†, Arboviral diseases, Jamestown Canyon virus disease, Previous 52 weeks Max†, flag, Arboviral diseases, Powassan virus disease, Cum 2021†, MMWR Week, Geocode, Arboviral diseases, La Crosse virus disease, Cum 2020†, flag | tags: la crosse virus disease, 2021, nedss, netss, nndss, powassan virus disease
[940] NNDSS - TABLE 1O.  Hansen's disease to Hantavirus pulmonary syndrome | pub=CDC | desc: NNDSS - TABLE 1O. Hansen's disease to Hantavirus pulmonary syndrome - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. res | cols: Hansen's Disease, Current week, Hantavirus infection, non-hantavirus pulmonary syndrome, Previous 52 weeks Max†, flag, Hantavirus infection, non-hantavirus pulmonary syndrome, Cum 2018†, flag, Hantavirus pulmonary syndrome, Cum 2019†, flag, Location 1 (zip), Hansen's Disease, Current week, flag, Location 2, MMWR Year, Location 2 (zip), Hansen's Disease, Cum 2018†, flag | tags: netss, wonder, non-hantavirus pulmonary syndrome, nndss, nedss, hantavirus pulmonary syndrome
[941] NNDSS - TABLE 1AA. Poliovirus infection, nonparalytic to Psittacosis | pub=CDC | desc: NNDSS - TABLE 1AA. Poliovirus infection, nonparalytic to Psittacosis - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. re | cols: MMWR Year, Location 1, Reporting Area Sort, geocode, States, Psittacosis, Previous 52 weeks Max†, flag, Psittacosis, Cum 2020†, flag, Psittacosis, Previous 52 weeks Max†, Poliovirus infection, nonparalytic, Cum 2021†, flag, Psittacosis, Cum 2021† | tags: poliovirus infection, 2021, nedss, netss, nndss, nonparalytic
[942] NNDSS - TABLE 1Q. Hepatitis B, perinatal infection to Hepatitis C (viral, acute), Probable | pub=CDC | desc: NNDSS - TABLE 1Q. Hepatitis B, perinatal infection to Hepatitis C (viral, acute), Probable - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territ | cols: Hepatitis B, perinatal infection, Cum 2019†, flag, Hepatitis C (viral, acute)§, Confirmed, Current week, flag, Hepatitis C (viral, acute)§, Confirmed, Cum 2019†, Hepatitis C (viral, acute)§, Confirmed, Cum 2018†, MMWR Week, Hepatitis C (viral, acute)§, Confirmed, Cum 2018†, flag, Hepatitis C (viral, acute)§, Probable, Current week, flag, Hepatitis C (viral, acute)§, Probable, Previous 52 weeks Max† , Hepatitis C (viral, acute)§, Probable, Cum 2018†, Location 2 (state) | tags: nndss, 2019, acute), confirmed, hepatitis b, hepatitis c (viral
[943] NNDSS - TABLE 1R. Hepatitis C, perinatal infection to Influenza-associated pediatric mortality | pub=CDC | desc: NNDSS - TABLE 1R. Hepatitis C, perinatal infection to Influenza-associated pediatric mortality - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. te | cols: MMWR Week, Location 1 (state), Location 1 (address), Influenza-associated pediatric mortality§, Previous 52 weeks Max†, flag, Location 2 (zip), Influenza-associated pediatric mortality§, Current week, flag, Influenza-associated pediatric mortality§, Cum 2018†, flag, Location 1, Hepatitis C, perinatal infection, Previous 52 weeks Max†, Hepatitis C, perinatal infection, Cum 2019† | tags: hepatitis c, perinatal infection, nndss, influenza-associated pediatric mortality, netss, nedss
[944] NNDSS - TABLE 1KK. Vancomycin-resistant Staphylococcus aureus to Varicella morbidity | pub=CDC | desc: NNDSS - TABLE 1KK. Vancomycin-resistant Staphylococcus aureus to Varicella morbidity - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, | cols: MMWR Year, Vancomycin-resistant Staphylococcus aureus, Current week, flag, Varicella morbidity, Current week, flag, Location 1, Location 1 (city), Location 1 (state), Vancomycin-resistant Staphylococcus aureus, Current week, Varicella morbidity, Current week, Vancomycin-resistant Staphylococcus aureus, Cum 2019†, flag, Vancomycin-resistant Staphylococcus aureus, Cum 2018†, flag | tags: nndss, netss, 2019, wonder, varicella morbidity, vancomycin-resistant staphylococcus aureus
[945] NNDSS - TABLE 1O. Hansen's disease to Hantavirus pulmonary syndrome | pub=CDC | desc: NNDSS - TABLE 1O. Hansen's disease to Hantavirus pulmonary syndrome - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. res | cols: Hantavirus pulmonary syndrome¶, Previous 52 weeks Max†, Hansen's Disease, Cum 2021†, flag, Hansen's Disease, Cum 2020†, Hansen's Disease, Current week, flag, geocode, Reporting Area Sort, Location 2, Location 1, Hansen's Disease, Current week, Hansen's Disease, Previous 52 weeks Max† | tags: netss, nedss, hantavirus pulmonary syndrome, hantavirus infection, hansen's disease, 2021
[946] edav-demo-dataset-api | pub=data.cdc.gov | cols: count, Unnamed Column, Route_Type
[947] NNDSS - TABLE 1X. Meningococcal disease, Other serogroups to Meningococcal disease, Unknown serogrou | pub=CDC | desc: NNDSS - TABLE 1X. Meningococcal disease, Other serogroups to Meningococcal disease, Unknown serogroup - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States,  | cols: Meningococcal disease, Unknown serogroup, Previous 52 weeks Max†, flag, Counties, States, Meningococcal disease, Other serogroups, Current week, Meningococcal disease, Unknown serogroup, Cum 2020†, Meningococcal disease, Other serogroups, Previous 52 weeks Max†, flag, Meningococcal disease, Other serogroups, Current week, flag, Meningococcal disease, Unknown serogroup, Cum 2021†, MMWR Year, Reporting Area Sort | tags: nndss, other serogroups, wonder, unknown serogroup, 2021, meningococcal disease
[949] NNDSS - TABLE 1X. Meningococcal disease,  Other serogroups to Meningococcal disease, Unknown serogro | pub=CDC | desc: NNDSS - TABLE 1X. Meningococcal disease, Other serogroups to Meningococcal disease, Unknown serogroup - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States,  | cols: Meningococcal disease, Unknown serogroup, Cum 2018†, flag, Meningococcal disease, Unknown serogroup, Previous 52 weeks Max†, flag, Location 1 (address), Location 2 (city), Meningococcal disease, Unknown serogroup, Cum 2018†, Meningococcal disease, Other serogroups, Cum 2019†, flag, Meningococcal disease, Other serogroups, Previous 52 weeks Max†, Location 2, Reporting Area, Meningococcal disease, Other serogroups, Cum 2018† | tags: nndss, other serogroups, unknown serogroup, wonder, meningococcal disease, nedss
[951] NNDSS - Table 1F. Brucellosis to Candida auris, clinical | pub=CDC | desc: NNDSS - Table 1F. Brucellosis to Candida auris, clinical - 2022. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Not | cols: Candida auris, clinical§, Current week, Brucellosis, Cum 2022†, flag, Brucellosis, Cum 2021, flag, Candida auris, clinical§, Current week, flag, Campylobacteriosis, Current week, Candida auris, clinical§, Cum 2021†, Candida auris, clinical§, Previous 52 weeks Max†, Reporting Area Sort, Location 1, Location 2 | tags: netss, campylobacteriosis, nndss, wonder, 2022, brucellosis
[952] NNDSS - TABLE 1K. Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection to Ehrlichia ch | pub=CDC | desc: NNDSS - TABLE 1K. Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection to Ehrlichia chaffeensis infection - 2020. In this Table, provisional cases* of notifiable diseases are displayed f | cols: Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Current week, MMWR Week, MMWR Year, Reporting Area, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Previous 52 weeks Max†, flag, New Georeferenced Column, Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection, Cum 2020†, flag, Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection, Current week, flag, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Cum 2019†, flag, Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection, Cum 2020†, flag | tags: nedss, nndss, anaplasma phagocytophilum infection, ehrlichia chaffeensis infection, 2020, wonder
[953] NNDSS - TABLE 1DD. Rubella to Rubella, congenital syndrome | pub=CDC | desc: NNDSS - TABLE 1DD. Rubella to Rubella, congenital syndrome - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. N | cols: Rubella, Cum 2018†, flag, Location 2 (state), Location 1 (state), Rubella, congenital syndrome, Cum 2018†, flag, Rubella, congenital syndrome, Cum 2018†, Rubella, congenital syndrome, Cum 2019†, Reporting Area, Reporting Area Sort, Location 2 (zip), Rubella, Cum 2019† | tags: nedss, nndss, rubella, rubella congenital syndrome, wonder, 2019
[954] NNDSS - TABLE 1BB. Q fever, Total to Q fever, Chronic | pub=CDC | desc: NNDSS - TABLE 1BB. Q fever, Total to Q fever, Chronic - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Notice | cols: Q fever, Acute, Previous 52 weeks Max†, Counties, States, Q fever, Total, Previous 52 weeks Max†, flag, Location 2, Q fever, Acute, Cum 2021†, flag, Q fever, Acute, Current week, Q fever, Total, Cum 2020†, flag, Q fever, Total, Current week, Q fever, Chronic, Current week | tags: nndss, acute, wonder, chronic, nedss, netss
[955] NNDSS - TABLE 1W. Meningococcal disease, All serogroups to Meningococcal disease, Serogroup B | pub=CDC | desc: NNDSS - TABLE 1W. Meningococcal disease, All serogroups to Meningococcal disease, Serogroup B - 2021. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. ter | cols: Meningococcal disease, Serogroup B, Previous 52 weeks Max†, Reporting Area Sort, Meningococcal disease, Serogroup B, Cum 2020†, flag, Meningococcal disease, Serogroup B, Cum 2020†, Meningococcal disease, Serogroups ACWY, Cum 2020†, flag, Meningococcal disease, Serogroups ACWY, Cum 2021†, Meningococcal disease, Serogroups ACWY, Previous 52 weeks Max†, flag, Meningococcal disease, Serogroups ACWY, Current week, flag, Meningococcal disease, All serogroups, Cum 2020†, Meningococcal disease, All serogroups, Cum 2021† | tags: meningococcal disease, 2021, serogroups acwy, serogroup b, nndss, netss
[956] NNDSS - TABLE 1I. Cryptosporidiosis to Cyclosporiasis | pub=CDC | desc: NNDSS - Table 1I. Cryptosporidiosis to Cyclosporiasis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note:  | cols: Location 1 (address), Location 1 (city), Location 2 (zip), Location 2 (address), MMWR Year, Cryptosporidiosis, Current week, flag, Cryptosporidiosis, Previous 52 weeks Max†, flag, Cryptosporidiosis, Cum 2019†, flag, Cryptosporidiosis, Cum 2018†, flag, Cyclosporiasis, Previous 52 weeks Max† | tags: nndss, netss, wonder, 2019, nedss, cyclosporiasis
[957] NNDSS - TABLE 1DD. Rubella to Rubella, congenital syndrome | pub=CDC | desc: NNDSS - TABLE 1DD. Rubella to Rubella, congenital syndrome - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. N | cols: Rubella, congenital syndrome, Current week, flag, Counties, States, Rubella, congenital syndrome, Previous 52 weeks Max†, Rubella, Current week, flag, Location 2, Rubella, Cum 2019†, flag, Rubella, congenital syndrome, Previous 52 weeks Max†, flag, Rubella, congenital syndrome, Cum 2020†, Rubella, congenital syndrome, Cum 2019† | tags: nedss, netss, nndss, rubella, wonder, 2020
[958] NNDSS - TABLE 1H. Cholera to Coccidioidomycosis | pub=CDC | desc: NNDSS - Table 1H. Cholera to Coccidioidomycosis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. residents. Note: This t | cols: Cholera, Current week, Reporting Area Sort, Location 2 (city), Coccidioidomycosis, Cum 2018†, Coccidioidomycosis, Previous 52 weeks Max†, Coccidioidomycosis, Current week, Cholera, Cum 2018†, Cholera, Previous 52 weeks Max†, Cholera, Current week, flag, MMWR Week | tags: wonder, 2019, cholera, nndss, coccidioidomycosis, netss
[959] NNDSS - TABLE 1L. Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection to Giardiasis | pub=CDC | desc: NNDSS - Table 1L. Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection to Giardiasis - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territ | cols: Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Previous 52 weeks Max†, flag, Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week, flag, MMWR Year, Ehrlichiosis and Anaplasmosis, Undetermined, Previous 52 weeks Max†, flag, Location 2 (zip), Ehrlichiosis and Anaplasmosis, Ehrlichia ewingii infection, Current week, Location 1, Location 2, Location 2 (city), Giardiasis, Previous 52 weeks Max†, flag | tags: nndss, wonder, undetermined, netss, nedss, giardiasis
[961] NNDSS - TABLE 1O.  Hansen's disease to Hantavirus pulmonary syndrome | pub=CDC | desc: NNDSS - TABLE 1O. Hansen's disease to Hantavirus pulmonary syndrome - 2019. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. res | cols: Location 2 (address), Hantavirus pulmonary syndrome, Current week, flag, Hantavirus pulmonary syndrome, Current week, Hantavirus infection, non-hantavirus pulmonary syndrome, Current week, Hansen's Disease, Current week, Location 2 (zip), Location 1 (zip), Location 1 (city), Location 1 (address), Hantavirus pulmonary syndrome, Previous 52 weeks Max† | tags: hantavirus pulmonary syndrome, nndss, 2019, hansen's disease, netss, wonder
[963] NNDSS - TABLE 1AA. Poliovirus infection, nonparalytic to Psittacosis | pub=CDC | desc: NNDSS - TABLE 1AA. Poliovirus infection, nonparalytic to Psittacosis - 2020. In this Table, provisional cases* of notifiable diseases are displayed for United States, U.S. territories, and Non-U.S. re | cols: Location 1, Psittacosis, Cum 2020†, Psittacosis, Previous 52 weeks Max†, flag, Poliovirus infection, nonparalytic, Previous 52 weeks Max†, flag, MMWR Week, Reporting Area Sort, Psittacosis, Cum 2019†, flag, Poliovirus infection, nonparalytic, Current week, flag, Reporting Area, New Georeferenced Column | tags: 2020, psittacosis, wonder, nndss, nonparalytic, poliovirus infection
[964] NNDSS - TABLE 1K. Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection to Ehrlichia ch | pub=CDC | desc: NNDSS - Table 1K. Ehrlichiosis and Anaplasmosis, Anaplasma phagocytophilum infection to Ehrlichia chaffeensis infection - 2019. In this Table, provisional cases* of notifiable diseases are displayed f | cols: Location 1 (state), Location 2 (state), Location 2 (city), Location 1 (address), Location 1, Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection, Cum 2018†, flag, Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection, Cum 2018†, Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection, Cum 2019†, flag, Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection, Cum 2019†, Ehrlichiosis and Anaplasmosis, Ehrlichia chaffeensis infection, Previous 52 weeks Max† | tags: nedss, ehrlichiosis and anaplasmosis, netss, nndss, 2019, anaplasma phagocytophilum infection
